bsh;tr;ti;det;quote;ill;tam;synt;matrix;other evids;m_tam;sp;pron
buldə šul äbej, bəna bašəmdə qərqa inde ul xan, qərq täkä birep qajtarðə, əчtobə min sledujuщij barəuɣa hikhän štuk buləp torhon tip;[he came back in a bad mood] WOMAN’S QUOTE This is what happened, old woman, the khan will cut off my head, he gave me 40 male sheep and he said that next time they should be 80.;tip;tip (dialog);buldə šul äbej, bəna bašəmdə qərqa inde ul xan, qərq täkä birep qajtarðə, əчtobə min sledujuщij barəuɣa hikhän štuk buləp torhon ;medium;PST;lmRQ;come;no;CV.ANT;;
šunan bəl äjðä kittek xäðer tölkönö qəwəp səɣarabəð tip kilgändär ikän tölkö qujannəŋ öjönä;then this one (the wolf): let's go, now we will kick the fox out of the house, he said, they went to the house of the fox;tip; tip PC.PST ;äjðä kittek xäðer tölkönö qəwəp səɣarabəð;medium;POT;nmRQM;come;yes;PST;;
qəðəqaj älegä jomro jomro jomɣaɣəmdə kürmäneŋme tip kitep ultəra ikän;the girl goes and asks whether they saw the same round ball;tip;tip V ikän;jomro jomro jomɣaɣəmdə kürmäneŋme ;strong;PST;nmRQM;come;yes;PC.PST;;
xäðer ber ike kön ütkäs taɣə Тölkö -min bögön dä ana šunəŋ balahəna isem qušəp kiläm tip taɣə səɣəp kitkän ti;"and a few days later Fox (said) again: ""And today I'll go to give a name to a child"" and left again";tip;tip PC.PST ti;-min bögön dä ana šunəŋ balahəna isem qušəp kiläm;medium;PRS;nmRQM;come;yes;PC.PST;ZF;1SG
atahə aptərap qarap tora ti bəlar beðgä qunaqqa kilgändär ikän tip šunan xäðer inäjem dä qəðəmdə ujatajəm tip atahə kerhä qəðəqaj urənənda juq ti joqlaɣan urənənda;"The father was standing in surprise: ""We have guests, I shall go and wake up my daughter"". When he entered, there was no girl inside, she went away when he was sleeping.";tip;tip (frame);bəlar beðgä qunaqqa kilgändär ikän;low;PC.PST;lmRQ;stand;yes;PRS;;
atahə aptərap qarap tora ti bəlar beðgä qunaqqa kilgändär ikän tip šunan xäðer inäjem dä qəðəmdə ujatajəm tip atahə kerhä qəðəqaj urənənda juq ti joqlaɣan urənənda;"The father was standing in surprise: ""We have guests, I shall go and wake up my daughter"". When he entered, there was no girl inside, she went away when he was sleeping.";tip;tip (frame);šunan xäðer inäjem dä qəðəmdə ujatajəm;medium;PRS;lmRQ;stand;yes;PRS;;
batšaɣa qulən hona qəðəqaj turɣajðə məna hiŋä büläk tip ä batša aləp ölgörmäj turɣaj osop ta kitä;"She raised her hand with a sparrow saying to the tsar: ""Here is a gift for you!"" But the tsar could not take it, because the sparrow flew away.";tip;tip (frame);məna hiŋä büläk;medium;non-verbal;lmRQ;raise_hand;no;PRS;;
aptəraj inde baj küp tä ašamaj ä ašə qajða buldə ikän tip;The rich man was very surprised that she eats very little, and where does the food go?;tip;tip (thought);ä ašə qajða buldə ikän;strong;PC.PST;lmRQ;surprise;yes;PRS;;
šunan atahə täðränän kilep qaraɣa osonlapta bəl nimä buldə inde tip aptəraštəlar tej;"her father came to the window to watch and asked ""what is that?"" They were surprised";tip;tip V ti;nimä buldə inde;strong;PST;nmRQM;surprise;yes;PST;;
bəl mosafir šul xättän nəq həwhanəm tip ingän keše... keše nəq asəqqan bulɣan;the traveler who said that he was very thirsty turned out to be very hungry;tip; tip PC.PST ;xättän nəq həwhanəm;low;PST;nmRQM;enter;yes;PC.PST;;
äle bul-ha =la ösköl-där-ðän keše-lär Räxmät awəl-dar-ə köl-ä-lär käbän taš-əɣəð jəɣəl-əp bar-ma-j-mə tip ;"И до сих пор люди, рахметовцы смеются над аслаевцами: ""А у вас стог сена не падает?""";tip;tip (frame);käbän taš-əɣəð jəɣəl-əp bar-ma-j-mə;strong;PRS;MRQ;laugh ;no;PRS;;
hin höjläj torɣanəŋ, iθläj torɣanəŋ, hölärheŋ, hölärheŋ kiläsäkta tip;you usually talk, you usually talk a lot, so in the future you have to tell this story;tip;weird;bənə qalaj itep jazalarɣa, nisek itep bašən qərqərɣa ikän;medium;PC.PST;RQ;0;no;0;;
šulaj tip batša bik aqəllə eget ikänheŋ äjðä mineŋ väzirem bul tip ul unə üðeneŋ ergähenä eškä alɣan;"So, rich man: ""You are a very smart guy, come on, you will be my vizier (advisor).""";tip;wierd;ik aqəllə eget ikänheŋ äjðä mineŋ väzirem bul;strong;IMP;nmRQlm;take;no;non-verbal;;
qəðəqaj äjðä ni mine aləp qajtəp säj genä eserep ebärse tigän bik nəq juldan kiläm həuhanəm tigän ti;"Who are you, pretty girl? Where do you live? ""I live with my father"". ""Let's drink tea at your place, I am very tired from work, I am thirsty"".";tigän;tip PC.PST ti;qəðəqaj äjðä ni mine aləp qajtəp säj genä eserep ebärse tigän bik nəq juldan kiläm həuhanəm;low;PST;RQ;0;yes;PC.PST;;
-jaŋɣəðləqtan jonsonoq äjðä bergäläp ɣümer itäjek tigändär ti;We are tired of loneliness, let's live together, they said.;tigän;tigän ti;-jaŋɣəðləqtan jonsonoq äjðä bergäläp ɣümer itäjek;strong;IMP;RQ;0;yes;0;;
bəna ošondaj ošondaj vasəjat äjtep qaldərɣajnə atajəm šunə hənar ösön šulaj ešlänem min tigän ti;So, the testament is like this and like that. I did that in order to test it – he said.;tigän;tigän ti;bəna ošondaj ošondaj vasəjat äjtep qaldərɣajnə atajəm šunə hənar ösön šulaj ešlänem min;medium;PST;RQ;0;yes;0;;
qajtha -jä nindäj isem tip quštəŋ -Уrtansə bala tip quštəm, tigän ti, xäðer jaraj Уrtansə bala, xäðer bəlar taɣən joqlaɣandar;when she returned (they asked) - and what did you name (him)? -I called (him) the Middle Child, she said, okay, the Middle Child, and everyone went to bed again;tigän;tigän ti;urtansə bala tip quštəm;low;PST;RQ;0;yes;0;;
ulaj bulɣas Аjəu aɣaj beð Тölkönö xäðer utta jandərabəð tigän ti;So, brother Bear, we will now burn Fox at the stake, she said.;tigän;tigän ti;ulaj bulɣas Аjəu aɣaj beð Тölkönö xäðer utta jandərabəð;strong;POT;RQ;0;yes;0;;
qəðəqaj bik qajɣərɣan inähe ülmäθ elek uɣa šundaj vasəjat äjtep qaldərɣan ti bəna ošo( beððeŋ) mineŋ sülmäk bəl sülmäk miŋä inäjemdän qalɣajnə bəl sülmäkte min hiŋä tapšəram tigän ti bəl sülmäktän ber vaqətta la ajərəlma tigän ti;"The girl was very worried about her mother's death. When she was alive, she left her testament: ""Here is my pot, I inherited it from my mother, I'll give it to you. You should never leave this pot"".";tigän;tigän ti;bəl sülmäktän ber vaqətta la ajərəlma tigän;strong;POT;RQ;0;yes;0;;
üððärenä ber jäšärðek kenä öj halɣandar ti bergä qəš səɣərbəð tigändär ti šulaj itep jäjðe nisek kenä bulha ütkärerbeð tigändär ti;they built a house for one season and decided to spend the winter together, they said we will spend the summer somehow;tigän;tigän ti;šulaj itep jäjðe nisek kenä bulha ütkärerbeð;low;POT;RQ;0;yes;0;;
üððärenä ber jäšärðek kenä öj halɣandar ti bergä qəš səɣərbəð tigändär ti šulaj itep jäjðe nisek kenä bulha ütkärerbeð tigändär ti;they built a house for one season and decided to spend the winter together, they said we will spend the summer somehow;tigän;tigän ti;üððärenä ber jäšärðek kenä öj halɣandar ti bergä qəš səɣərbəð;low;POT;RQ;0;yes;0;;
at menän həbaj ða bulmahən jäjäü ðä bulmahən kejengän dä bulmahən jalanɣas ta bulmahən häm büläkle lä bulmahən büläkle lä büläkheð ðä bulmahən tigän;She should not be on a horse and she should not walk, she should not be dressed and she should not be undressed, she shoud not come without a present and she should not come with a present – he said.;tigän;tigän;at menän həbaj ða bulmahən jäjäü ðä bulmahən kejengän dä bulmahən jalanɣas ta bulmahən häm büläkle lä bulmahən büläkle lä büläkheð ðä bulmahən;strong;IMP;RQ;0;no;0;;
qartajɣan kešene öjrätep bulmaj ul hənala quja tigän;"an old man cannot be taught; it will break (him)";tigän;tigän;qartajɣan kešene öjrätep bulmaj ul hənala quja;low;PRS;RQ;0;no;0;VZG;
toq menän kešene kilteregeð alaj bulɣas mineŋ käbärkälä jata tigän;I have a bag with a man in my larder, bring it, he said.;tigän;tigän;toq menän kešene kilteregeð alaj bulɣas mineŋ käbärkälä jata;medium;PRS;RQ;0;no;0;;
min šulaj tip ujlajəm tigän;I think so – he said.;tigän;tigän;min šulaj tip ujlajəm;low;PRS;RQ;0;no;0;;
hin bəl qəðəmdə jegär ðä hin bəl qəðəmdə urmanɣa jete taw jete jəlɣa jete diŋgäð aša aləp barəp tašlamahaŋ, min hineŋ qajtəp kite men tigän;if you don’t take your daughter away to the forest, across seven mountains, seven rivers, seven seas, then I’ll leave you she said;tigän;tigän;hin bəl qəðəmdə jegär ðä hin bəl qəðəmdə urmanɣa jete taw jete jəlɣa jete diŋgäð aša aləp barəp tašlamahaŋ, min hineŋ qajtəp kite men;strong;PRS;RQ;0;no;0;;
bəna šulaj min nimä tip äjtem ultənlap ɣəna tora ikebeð ber hüððen kenä jäšäbeð tigän;so, what I say, she obeys, I say one word, that is how we live;tigän;tigän;bəna šulaj min nimä tip äjtem ultənlap ɣəna tora ikebeð ber hüððen kenä jäšäbeð;low;PRS;RQ;0;no;0;;
šulaj bulɣas min duθəma əšanmajəm tigän;That is why I do not trust my friend.;tigän;tigän;šulaj bulɣas min duθəma əšanmajəm ;low;PRS;RQ;0;no;0;;
bəna ošo jel-jel arbam hiŋä təwɣan jaɣəŋɣa aləp qajttə tigän;and this wind cart brought you back;tigän;tigän;bəna ošo jel-jel arbam hiŋä təwɣan jaɣəŋɣa aləp qajttə;low;PST;RQ;0;no;0;ZF;
küreüen kürmänem išägeŋ ošo jaqta išägeŋde ošo jaqqa taban eðlä tigän;I didn’t see it, but your donkey went this way, look in this direction – he said.;tigän;tigän;küreüen kürmänem išägeŋ ošo jaqta išägeŋde ošo jaqqa taban eðlä ;low;PST;RQ;0;no;0;;
belmänem bit min bəndaj xäsrättärðä tigän;I have not known this grief;tigän;tigän;belmänem bit min bəndaj xäsrättärðä ;medium;PST;RQ;0;no;0;;
bəna šunəŋ ösön min jäšten uk öjrätep aldəm heððeŋ qəðəɣəððə tigän;that is why in her young age I taught your daughter he said;tigän;tigän;bəna šunəŋ ösön min jäšten uk öjrätep aldəm heððeŋ qəðəɣəððə;medium;PST;RQ;0;no;0;;
qajtqasqəna asərhəŋ tigän;only when you return (home), you will open it;tigän;tigän;qajtqasqəna asərhəŋ;strong;POT;RQ;0;no;0;;
äjðä qujanqajəm kittek xäðer səɣarabəð beð unə tölkönö tigän;let's go, my bunny, now, we will kick her, this fox, out, he says;tigän;dialog;äjðä qujanqajəm kittek xäðer səɣarabəð beð unə tölkönö;medium;IMP;RQ;0;no;0;;
qəðəm qajtmaØ bögöngä qunØ tigän;my girl, don’t leave, stay and sleep tonight, she says;tigän;dialog;qəðəm qajtmaØ bögöngä qunØ;strong;IMP;RQ;0;no;0;;
alØda qajtØ tigän;take (it) and go, (she) says;tigän;dialog;alØda qajtØ ;strong;IMP;RQ;0;no;0;;
änä bit min heðgä bit äjttem tigän änä bit qujan kilä tigän;“I told you so!” He said. “Here comes the Hare,” he said.;tigän;dialog;änä bit qujan kilä;low;PRS;RQ;0;no;0;ZF;
jarar məna berense šartəmdə ütäneŋ ikense šartəmdə ütäj alərhəŋmə tigän;Alright, you succeeded with my first riddle, so could you do another task? – he said.;tigän;dialog;jarar məna berense šartəmdə ütäneŋ ikense šartəmdə ütäj alərhəŋmə;strong;PRS;RQ;0;no;0;VZG;
qəðəm jomro jomro äj äbej jomro jomro jomɣaɣəmdə kürmäŋme tigän;daughter (my girl), round .... oh ... grandmother (respectful term for an old woman), have you seen a round little ball she says;tigän;dialog;qəðəm jomro jomro äj äbej jomro jomro jomɣaɣəmdə kürmäŋme;strong;PRS;RQ;0;no;0;FN;
jomro jomro jomɣaɣəmdə kürmäŋme abəstaj tigän;have you seen a round ball, kind people? (she) said;tigän;dialog;jomro jomro jomɣaɣəmdə kürmäŋme abəstaj ;strong;PRS;RQ;0;no;0;;
ä iŋ jomšaɣə nimä bula huŋ ul tigän iŋ jomšaɣə ul us tigän;"He said: ""What is the softest one?"". She said: ""The softest one is a palm"".";tigän;dialog;ä iŋ jomšaɣə nimä bula huŋ ul;strong;PRS;RQ;0;no;0;;
öj bašənda handəq bar šunə töšörØ hiŋä büläk birem tigän;in the attic, there is a chest, bring it here, I want to give you a gift;tigän;dialog;öj bašənda handəq bar šunə töšörØ hiŋä büläk birem;medium;PRS;RQ;0;no;0;;
bəl ittän bit et eθe kilä tigän;It smells like dog's meat. – he said.;tigän;dialog;bəl ittän bit et eθe kilä;low;PRS;RQ;0;no;0;;
šunan huŋ batša belmäjem inäjem bar atajəmdəŋ kem ikänen min belmäjem tigän;Then the king: I don’t know, I have a mother, but who my father is, I do not know. - he said;tigän;dialog;šunan huŋ batša belmäjem inäjem bar atajəmdəŋ kem ikänen min belmäjem ;low;PRS;RQ;0;no;0;;
qajða kiteŋ qujanqajəm bəlaj qajɣərəp ilaj-ilaj tigän;where are you going crying so sad, my bunny, he says;tigän;dialog;qajða kiteŋ qujanqajəm bəlaj qajɣərəp ilaj-ilaj;strong;PRS;RQ;0;no;0;;
bəl jeläkte ašarɣa jaramaj tigän;you shouldn't eat these berries – he said;tigän;dialog;bəl jeläkte ašarɣa jaramaj;strong;PRS;RQ;0;no;0;;
äj jeget ni ešlä-j-heŋ ti-gän Äbjälil arqan iš-ä-m ti-gän ;"Эй, парень, что делаешь? - говорит, Абзелил: ""Аркан плету"", говорит.";tigän;dialog;äj jeget ni ešlä-j-heŋ;strong;PRS;RQ;0;no;0;;
išägem juɣalɣajnə tigän;– he asked. My donkey got lost – he said.;tigän;dialog;išägem juɣalɣajnə;low;PC.PST;RQ;0;no;0;YNK;
änä bit min heðgä bit äjttem tigän änä bit qujan kilä tigän;“I told you so!” He said. “Here comes the Hare,” he said.;tigän;dialog;änä bit min heðgä bit äjttem;medium;PST;RQ;0;no;0;ZF;
qujan miŋä öjläš kerðe tigän;bunny came to me as a guest;tigän;dialog;qujan miŋä öjläš kerðe;strong;PST;RQ;0;no;0;MV;
qujan... tölkö mine öjömdän qəwəp səɣarðə tigän;hare ... fox kicked me out of my house -- he says;tigän;dialog;ölkö mine öjömdän qəwəp səɣarðə;low;PST;RQ;0;no;0;;
ä ni tigän išägeŋdeŋ ber ajaɣə satan ineme tigän;He said: Was the donkey limping on one leg?;tigän;dialog;išägeŋdeŋ ber ajaɣə satan ineme;strong;PST;RQ;0;no;0;;
säsrätep ä qojroɣo oðon bulha ul jomoro ɣəna itep tähärätläner ine tigän;he was flicking (his tail) so the dust was flying to all sides, while if its tale was long, he would flick and keep the round trace;tigän;dialog;säsrätep ä qojroɣo oðon bulha ul jomoro ɣəna itep tähärätläner ine;low;PST;RQ;0;no;0;;
qojroɣonoŋ qəθqa ikänen qajðan beldeŋ tigän;How did you know that he had a short tail?;tigän;dialog;qojroɣonoŋ qəθqa ikänen qajðan beldeŋ ;strong;PST;RQ;0;no;0;;
ütkän jəl min otoldom bit tigän;I lost last year;tigän;dialog;ütkän jəl min otoldom bit;low;PST;RQ;0;no;0;;
kešegä äjtergä ojaləp kem ikänen atajəŋdəŋ kem ikänen hiŋä lä, bašqa kešegä lä äjtmänem tigän;I was embarrassed to tell anyone who was your father, I neither told you nor anyone else.;tigän;dialog;kešegä äjtergä ojaləp kem ikänen atajəŋdəŋ kem ikänen hiŋä lä, bašqa kešegä lä äjtmänem;low;PST;RQ;0;no;0;;
ošo jaqqa tägärläne tigändär;it rolled in that direction, they said;tigän;dialog;ošo jaqqa tägärläne;low;PST;RQ;0;no;0;;
šunda barəp kerðe tigän;it rolled there they say;tigän;dialog;šunda barəp kerðe;low;PST;RQ;0;no;0;;
kilep kerðe qəðəm tigän;it rolled up here, my girl, she says;tigän;dialog;kilep kerðe qəðəm;low;PST;RQ;0;no;0;;
juq kürmänem tigän;No, we did not see (it) - they said.;tigän;dialog;juq kürmänem ;low;PST;RQ;0;no;0;;
ej qəðəm bəna taɣə la bik awər horau birðe batšabəð tigän;Oh, my girl, our tsar asked a very difficult question again – he said.;tigän;dialog;ej qəðəm bəna taɣə la bik awər horau birðe batšabəð;low;PST;RQ;0;no;0;;
ej batšam beð hiŋä äjtergä qurqtəq quj harəɣə jatəp ülgäs unəŋ bäräsen et imeðep üθterðek tigän;Oh, my king, we were afraid to tell you, after a sheep died, it was the dog who raised the lamb. – he said.;tigän;dialog;ej batšam beð hiŋä äjtergä qurqtəq quj harəɣə jatəp ülgäs unəŋ bäräsen et imeðep üθterðek;medium;PST;RQ;0;no;0;;
išägeŋdeŋ ber küðe huqər ineme tigän;One donkey's was blind? he said;tigän;dialog;išägeŋdeŋ ber küðe huqər ineme;strong;PST;RQ;0;no;0;;
kire jaqqa säsrätmäθ ine tigän;the dust would not fly to all sides;tigän;dialog;kire jaqqa säsrätmäθ ine ;low;PST;RQ;0;no;0;;
išägeŋdeŋ qojroɣo qəθqa ineme tigän;The tail of you donkey was short?;tigän;dialog;išägeŋdeŋ qojroɣo qəθqa ineme;strong;PST;RQ;0;no;0;;
bašqa erðä jeläk bötkän ä bəna zəjaratta bötmägän ine šuɣa zəjarattan jəjəp aləp kildek tigän;There were no berries in other places, but there were at the cemetery, which is why we gathered there.;tigän;dialog;bašqa erðä jeläk bötkän ä bəna zəjaratta bötmägän ine šuɣa zəjarattan jəjəp aləp kildek ;low;PST;RQ;0;no;0;;
atajlə bala qunaqtəŋ ergähendä ultərəp həjlaj hin mine ber bülmälä qaldərðəŋ da üðeŋ ikense bülmägä səɣəp kitteŋ tigän;When there is (one has) a father, then during the meal he (a father) sits among the guests, and you left me alone in one room, and you went out into another.;tigän;dialog;atajlə bala qunaqtəŋ ergähendä ultərəp həjlaj hin mine ber bülmälä qaldərðəŋ da üðeŋ ikense bülmägä səɣəp kitteŋ;low;PST;RQ;0;no;0;;
səqmahaŋ bašən küðen qan bulər tigän;if you don’t get out, your head and eyes will be in blood;tigän;dialog;səqmahaŋ bašən küðen qan bulər;strong;POT;RQ;0;no;0;;
heð qolondə ebäreɣeð ul kemde barəp imhä šunəŋ balahə bulər tigän;let the foal go, to whom it sucks, that is whose child it is – he said;tigän;dialog;heð qolondə ebäreɣeð ul kemde barəp imhä šunəŋ balahə bulər;medium;POT;RQ;0;no;0;;
äjðä beð bergäläp beräj nämä säsäjek tä šunə üθteräjek šunan urtaq bülešep alərbəð tigän;let's plant and grow something together and then divide it equally he said;tigän;dialog;äjðä beð bergäläp beräj nämä säsäjek tä šunə üθteräjek šunan urtaq bülešep alərbəð;medium;POT;RQ;0;no;0;;
tölkö mine öjömdän qəwəp səɣarðə, qajða barərɣa tigän inde;the fox kicked me out of my house, where should to go, he said;tigän;dialog;tölkö mine öjömdän qəwəp səɣarðə, qajða barərɣa;medium;POT;RQ;0;no;0;;
irtägä qajtərhəŋ tigän šunan;you will leave tomorrow, then (she said);tigän;dialog;irtägä qajtərhəŋ;medium;POT;RQ;0;no;0;;
donъjala iŋ qatə ul nimä ikän ej alla aptərap ni iŋ qatəhə ul joqo tigän;"(oldman:) ""What is the most solid thing in the world? (his daughter:) Oh, my God, why is it so surprising? It is sleep"".";tigän;dialog;ej alla aptərap ni iŋ qatəhə ul joqo ;low;non-verbal;RQ;0;no;0;VZG;
jaraj ulaj bulɣas həjlaɣəð min həjlanərɣa riza tigän;Alright, I agree.;tigän;dialog;jaraj ulaj bulɣas həjlaɣəð min həjlanərɣa riza;low;non-verbal;RQ;0;no;0;YNK;
äjðä mineŋ menän tigän;"come on, come with me"" – she said.";tigän;dialog;äjðä mineŋ menän;strong;non-verbal;RQ;0;no;0;ZF;
bašə käräkme ällä tamərəmə käräkme tigän;do you need roots or heads?;tigän;dialog;bašə käräkme ällä tamərəmə käräkme ;strong;non-verbal;RQ;0;no;0;RM;
ä iŋ jomšaɣə nimä bula huŋ ul tigän iŋ jomšaɣə ul us tigän;"He said: ""What is the softest one?"". She said: ""The softest one is a palm"".";tigän;dialog;iŋ jomšaɣə ul us;low;non-verbal;RQ;0;no;0;;
ej šuɣa qajɣərəp ni ataj ul iŋ šäbe uj tigän;Oh, (don't be) worried about it, dad... The quickest thing in the world is a thought. – she said.;tigän;dialog;ej šuɣa qajɣərəp ni ataj ul iŋ šäbe uj;medium;non-verbal;RQ;0;no;0;;
ä iŋ qäðerle nämä donъjala nimä bula huŋ ul bala tigän;"What is the most expensive thing in the world? ""This is a child"" – she said.";tigän;dialog;ul bala ;low;non-verbal;RQ;0;no;0;;
ä ul jomorqa nimäŋ belän tämle tigän;which kind of eggs do you prefer?;tigän;dialog;ä ul jomorqa nimäŋ belän tämle;strong;non-verbal;RQ;0;no;0;;
toð menän tigän;with salt he said;tigän;dialog;toð menän ;low;non-verbal;RQ;0;no;0;;
qujandə keretergä käräk tigän;you need to let the hare in, he says;tigän;dialog;qujandə keretergä käräk;medium;non-verbal;RQ;0;no;0;;
xäðer xəuəq qəštar etkän ti ajəu täüðä äjtkän ti -jaraj majðə qaldərəp torajəq həuəq qəštar etkäs ašarbəð tigän ti;"and now the cold winter has come, and the Bear had said before: ""Okay, let's leave the butter, when the cold winter comes, we will eat it"" he said.";tigän;tigän (framed);jaraj majðə qaldərəp torajəq həuəq qəštar etkäs ašarbəð ;medium;POT;RQ;0;yes;0;ZF;
ä ni tigän išägeŋdeŋ ber ajaɣə satan ineme tigän;He said: Was the donkey limping on one leg?;tigän;in the middle;išägeŋdeŋ ber ajaɣə satan inem;strong;PST;RQ;0;no;0;;
ä ni tigän išägeŋdeŋ ber ajaɣə satan ineme tigän;He said: Was the donkey limping on one leg?;tigän;in the middle;ni;strong;non-verbal;RQ;0;no;0;;
hin kem hələu qəð tip äjtkän ti (ne) ni hin qajða jäšäjheŋ min öjömdä atajəm menän genä jäšäjem tigän qəðəqaj äjðä ni mine aləp qajtəp säj genä eserep ebärse tigän bik nəq juldan kiläm həuhanəm tigän ti;"Who are you, pretty girl? Where do you live? ""I live with my father"". ""Let's drink tea at your place, I am very tired from work, I am thirsty"".";tigän;tigän ti;bik nəq juldan kiläm həuhanəm;medium;PST;RQ;tell;yes;PC.PST;;
nämä buldə heðgä tigän;what is going on? he said;tigän;tigän (farmed);nämä buldə heðgä;strong;PST;RQ;tell;yes;PC.PST;;
šunan xäðer Аjəu äjtä ti -Йä Ҡujanbikä (beð bəɣa) beð bənə nimä ešlätäbeð tigän ti;"and the Bear says: ""Well, Hare, what are we going to do with her?"", he asked.";tigän;tigän ti;Йä Ҡujanbikä (beð bəɣa) beð bənə nimä ešlätäbeð;strong;PRS;MRQ;tell;yes;PRS;ZF;
häm šul waqət ul äjtkän jel-jel arbam, aləp qajt hin mine təwɣan jaɣəma tigän;and at that time she said: my wind cart, take me home;tigän;tigän (farmed);jel-jel arbam, aləp qajt hin mine təwɣan jaɣəma;strong;IMP;MRQ;tell;yes;PC.PST;ZF;
qəðəqaj asma tip äjtkän ti bəl sülmäkte asəp qarama aðaq (min) min ülgäs kenä min tege donъjaɣa kitkäs kenä ul sülmäk menän ul sülmäk menän bulašərhəŋ tigän ä äle unə ultərtəp qujɣandar;Daughter, don't open this pot, you can use it only after my death – she said. In the meantime, they just left it.;tigän;tigän (farmed);bəl sülmäkte asəp qarama aðaq (min) min ülgäs kenä min tege donъjaɣa kitkäs kenä ul sülmäk menän ul sülmäk menän bulašərhən;strong;IMP;MRQ;tell;yes;PC.PST;ZF;
ul äjtkän inde, bötkäs, bötkäs kenä qərqərhəŋ tigän inde;he said when it will end and only then cut;tigän;tigän (farmed);bötkäs, bötkäs kenä qərqərhəŋ;strong;IMP;MRQ;tell;yes;PC.PST;;
häm babaj äbej-gä äjt-kän asəq-tə-m beräj nämä beš-er-Ø ti-gän ;"И старик бабке сказал: ""Я проголодался, свари что-нибудь"".";tigän;tigän (farmed);asəq-tə-m beräj nämä beš-er-Ø;strong;IMP;MRQ;tell;yes;PC.PST;;
xäðer xəwəq qəš köndäre kilep etkän xäðer qujandə menderep ebärgän ti ajəu Тölkö äjtkän ti - min menä almajəm ajaɣəm həðlap tora, tigän ti;"and then a cold winter came, at the request of the Bear, the Hare climbed, and the Fox said ""I can't climb my leg hurts""";tigän;tigän (farmed);min menä almajəm ajaɣəm həðlap tora;medium;PRS;MRQ;tell;yes;PC.PST;ZF;
bəl äjtä ikän səsqandə totop alahəŋ da küðenä hirpäheŋ ul huqərajəp jöröp ülä tigän;"He said: ""You take the mouse, throw it in its eyes, it becomes blind and it dies"".";tigän;tigän (farmed);səsqandə totop alahəŋ da küðenä hirpäheŋ ul huqərajəp jöröp ülä ;medium;PRS;MRQ;tell;yes;PC.PST;;
šunan huŋ batša äjtkän belmäjem kötöüsemdän horajəm inde tigän;"Then the king said: ""I do not know. I will ask a shepherd"".";tigän;tigän (farmed);belmäjem kötöüsemdän horajəm inde;low;PRS;MRQ;tell;yes;PC.PST;;
äjtkän ošo miskä-ne həw menän tul-tər-ma-ha-ŋ min hine ül-ter-ä-m ti-gän ;Если ты не наполнишь эту бочку водой, я тебя убью, мол.;tigän;tigän (farmed);ošo miskä-ne həw menän tul-tər-ma-ha-ŋ min hine ül-ter-ä-m ;strong;PRS;MRQ;tell;yes;PC.PST;;
šunan aždaha äjt-kän äjðä nej köräš köräš-äj-ek jeŋ-eš-äj-ek kem jeŋ-ä ber-ense bul-a šul kül menän qal-a ti-gän inde ;"Потом дракон сказал: ""Давай это побор... поборемся, посоревнуемся; кто победит, кто первым будет, тот останется с озером"" - сказал так.";tigän;tigän (farmed);äjðä nej köräš köräš-äj-ek jeŋ-eš-äj-ek kem jeŋ-ä ber-ense bul-a šul kül menän qal-a;strong;PRS;MRQ;tell;yes;PC.PST;;
Тölkö äjtkän ti -ällä qajða buldə ikän, tigän bula ti;"Fox with a grin: ""Where did it go?"" (and) with a rustle";tigän;tigän (farmed);ällä qajða buldə ikän, tigän bula;strong;PC.PST;MRQ;tell;yes;PC.PST;;
ber zaman tuqta äle min atajəmdəŋ vasəjatən hənap qarajəm äle tigän;"Once: ""Wait, I'll check my father's will"" – he said.";tigän;tigän;äle min atajəmdəŋ vasəjatən hənap qarajəm äle;strong;PRS;RQ;nominal;no;non-verbal;;
xäðer qajtqasqəna handəqtə asərəŋ tigän;only when you return, you open the chest she says;tigän;tigän;qajtqasqəna handəqtə asərəŋ;strong;POT;RQ;nominal;no;non-verbal;;
šulaj uq uləma isem eðläjem bəna hin nindäj isem äjter ineŋ ikän käŋäš iterheŋ ikän tigän;"He said the same: ""I'm looking for a name for my son, what would you suggest?""";tigän;dialog;uləma isem eðläjem bəna hin nindäj isem äjter ineŋ ikän käŋäš iterheŋ ikän;strong;PC.PST;RQ;nominal;no;non-verbal;;
äjä tigän julsə;Yes – said the traveler.;tigän;dialog;äjä;low;non-verbal;RQ;nominal;no;non-verbal;;
äjä tigän julsə;Yes – said the traveler.;tigän;dialog;äjä;low;non-verbal;RQ;nominal;no;non-verbal;;
Qujanbikägä äj miŋä ul isem bik oqšap etmäj tigän ti;"Ms. Hare (cf. note) said: ""Oh, I do not like this name"".";tigän;tigän ti;miŋä ul isem bik oqšap etmäj;low;PRS;nmRQ;nominal;yes;non-verbal;;
šunan huŋ bəl batša bəl nindäj bašlə jegetheŋ ikän äjðä mindä väzir buləp qal tigän;Then the king: What a smart guy you are! Come on, stay here, you will be my vizier (advisor).;tigän;dialog;bəl nindäj bašlə jegetheŋ ikän äjðä mindä väzir buləp qal;strong;IMP;nmRQ;nominal;no;non-verbal;;
büre qajða kiteŋ qujanqajəm ilaj-ilaj tigän inde;the wolf asks where are you going crying my bunny;tigän;dialog;qajða kiteŋ qujanqajəm ilaj-ilaj;strong;PRS;nmRQ;nominal;no;non-verbal;;
